cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,59,1,6772097.0,"[100000002941114100, 100000005168487100, 100000003115284100, 100000003360542100, 100000003622955100]","59 узлов, 1 seed, оборот внутри кластера 6,772,097 KZT, преобладающая роль: peripheral (48 узлов)"
1,2,1,30000.0,"[100000003980083100, 100000003200071100]","2 узлов, 1 seed, оборот внутри кластера 30,000 KZT, преобладающая роль: peripheral (2 узлов)"
2,53,1,3021863.0,"[100000004692798100, 100000000831684100, 100000001899164100, 100000002193259100, 100000000297649100]","53 узлов, 1 seed, оборот внутри кластера 3,021,863 KZT, преобладающая роль: peripheral (40 узлов)"
3,6,1,275885.0,"[100000005895525100, 100000002462183100, 100000007175718100, 100000005056870100, 100000005807278100]","6 узлов, 1 seed, оборот внутри кластера 275,885 KZT, преобладающая роль: peripheral (5 узлов)"
4,3,0,627870.0,"[100000004666651100, 100000005664632100, 100000008628231100]","3 узлов, 0 seed, оборот внутри кластера 627,870 KZT, преобладающая роль: peripheral (3 узлов)"
5,4,2,1499679.0,"[100000008418835100, 100000008730021100, 100000008701944100, 100000004269433100]","4 узлов, 2 seed, оборот внутри кластера 1,499,679 KZT, преобладающая роль: peripheral (4 узлов)"
6,8,3,4597161.0,"[100000003404627100, 100000001732159100, 100000008637537100, 100000008314203100, 100000008232832100]","8 узлов, 3 seed, оборот внутри кластера 4,597,161 KZT, преобладающая роль: peripheral (6 узлов)"
7,4,1,1404980.0,"[100000008601794100, 100000001872484100, 100000002459163100, 100000000785800100]","4 узлов, 1 seed, оборот внутри кластера 1,404,980 KZT, преобладающая роль: peripheral (4 узлов)"
8,6,1,1615030.0,"[100000008659445100, 100000008736940100, 100000008751429100, 100000005456919100, 100000008193577100]","6 узлов, 1 seed, оборот внутри кластера 1,615,030 KZT, преобладающая роль: peripheral (3 узлов)"
9,10,0,322010.0,"[100000004552204100, 100000007322059100, 100000003646145100, 100000000993112100, 100000008172352100]","10 узлов, 0 seed, оборот внутри кластера 322,010 KZT, преобладающая роль: peripheral (9 узлов)"
10,56,1,10014014.02,"[100000001677929100, 100000002394199100, 100000004096559100, 100000001601320100, 100000002872399100]","56 узлов, 1 seed, оборот внутри кластера 10,014,014 KZT, преобладающая роль: peripheral (51 узлов)"
11,91,1,9080395.26,"[100000006443391100, 100000002838861100, 100000006385877100, 100000002812641100, 100000002613929100]","91 узлов, 1 seed, оборот внутри кластера 9,080,395 KZT, преобладающая роль: peripheral (56 узлов)"
12,4,1,79050.0,"[100000003148220100, 100000001852140100, 100000004971871100, 100000006888238100]","4 узлов, 1 seed, оборот внутри кластера 79,050 KZT, преобладающая роль: peripheral (4 узлов)"
13,26,14,2289450.0,"[100000005382566100, 100000004041163100, 100000005523088100, 100000008516839100, 100000005668605100]","26 узлов, 14 seed, оборот внутри кластера 2,289,450 KZT, преобладающая роль: peripheral (21 узлов)"
14,3,1,450816.0,"[100000005034574100, 100000007283257100, 100000004388983100]","3 узлов, 1 seed, оборот внутри кластера 450,816 KZT, преобладающая роль: peripheral (3 узлов)"
15,2,1,81465.0,"[100000003865939100, 100000005392290100]","2 узлов, 1 seed, оборот внутри кластера 81,465 KZT, преобладающая роль: peripheral (2 узлов)"
16,5,2,108007.0,"[100000006562026100, 100000007347733100, 100000008129393100, 100000006831291100, 100000006249740100]","5 узлов, 2 seed, оборот внутри кластера 108,007 KZT, преобладающая роль: peripheral (5 узлов)"
17,6,1,1527967.0,"[100000000580561100, 100000007939160100, 100000005183943100, 100000007930878100, 100000000955444100]","6 узлов, 1 seed, оборот внутри кластера 1,527,967 KZT, преобладающая роль: peripheral (6 узлов)"
18,119,0,24439680.33,"[100000001611488100, 100000000331309100, 100000000332284100, 100000004114962100, 100000002087788100]","119 узлов, 0 seed, оборот внутри кластера 24,439,680 KZT, преобладающая роль: peripheral (81 узлов)"
19,44,0,10215968.84,"[100000005933757100, 100000001937767100, 100000002605308100, 100000004159526100, 100000005941908100]","44 узлов, 0 seed, оборот внутри кластера 10,215,969 KZT, преобладающая роль: peripheral (34 узлов)"
20,5,1,2809200.0,"[100000004135268100, 100000008571433100, 100000004979498100, 100000007507343100, 100000002738256100]","5 узлов, 1 seed, оборот внутри кластера 2,809,200 KZT, преобладающая роль: peripheral (5 узлов)"
21,129,7,18799215.28,"[100000000706545100, 100000006901046100, 100000003886323100, 100000007749092100, 100000004330371100]","129 узлов, 7 seed, оборот внутри кластера 18,799,215 KZT, преобладающая роль: peripheral (113 узлов)"
22,29,0,446070.0,"[100000004891562100, 100000002706810100, 100000008715513100, 100000002670463100, 100000008460102100]","29 узлов, 0 seed, оборот внутри кластера 446,070 KZT, преобладающая роль: terminal (27 узлов)"
